Дата,Цена_за_унцию_USD,Изменение_день_USD,Изменение_день_процент,Дневной_минимум,Дневной_максимум,Объем_торгов,Инфляция_CPI_месяц,Инфляция_CPI_год,Безработица_процент,Ключевая_ставка_ФРС,Геополитический_индекс,Спрос_ЦБ_тонны,Технический_тренд
2026-03-17,5020.50,15.30,0.31,4991.30,5044.70,125000,0.3,2.4,4.4,5.25,65,45,Восходящий
2026-03-16,5005.20,-10.50,-0.21,4985.60,5020.80,118000,0.3,2.4,4.4,5.25,63,45,Коррекционный
2026-03-15,5015.70,25.80,0.52,4980.30,5035.20,142000,0.3,2.4,4.4,5.25,67,45,Восходящий
2026-03-14,4989.90,12.40,0.25,4965.80,5005.60,135000,0.3,2.4,4.4,5.25,62,45,Боковой
2026-03-13,4977.50,-8.20,-0.16,4950.40,4995.30,128000,0.3,2.4,4.4,5.25,60,45,Боковой
2026-03-12,4985.70,18.90,0.38,4955.60,5002.80,140000,0.3,2.4,4.4,5.25,65,45,Восходящий
2026-03-11,4966.80,5.60,0.11,4940.20,4985.40,115000,0.3,2.4,4.4,5.25,58,45,Боковой
2026-03-10,4961.20,-15.30,-0.31,4935.80,4978.60,122000,0.3,2.4,4.4,5.25,55,45,Коррекционный
2026-03-07,4976.50,22.40,0.45,4945.60,4995.30,138000,0.3,2.4,4.4,5.25,68,45,Восходящий
2026-03-06,4954.10,8.90,0.18,4925.40,4970.80,125000,0.3,2.4,4.4,5.25,62,45,Боковой

# Описание полей:
# Дата - дата торгов
# Цена_за_унцию_USD - цена золота в долларах США за тройскую унцию
# Изменение_день_USD - изменение цены за день в долларах
# Изменение_день_процент - изменение цены за день в процентах
# Дневной_минимум - минимальная цена за день
# Дневной_максимум - максимальная цена за день
# Объем_торгов - примерный объем торгов в контрактах
# Инфляция_CPI_месяц - месячное изменение индекса потребительских цен (в %)
# Инфляция_CPI_год - годовое изменение индекса потребительских цен (в %)
# Безработица_процент - уровень безработицы (в %)
# Ключевая_ставка_ФРС - целевой диапазон федеральных фондов (в %)
# Геополитический_индекс - индекс геополитической напряженности (0-100)
# Спрос_ЦБ_тонны - ежемесячные чистые закупки золота центральными банками (в тоннах)
# Технический_тренд - оценка технического тренда (Восходящий/Боковой/Коррекционный)
